,given20_estimated7,given17_estimated8,given3_estimated2,given13_estimated31,given16_estimated3,given11_estimated0,given21_estimated3,given0_estimated28,given26_estimated24,given11_estimated2
0,5.797925,2.243209,10.429444,10.895287,3.8651128,11.629747,3.54124,7.418141,2.2461696,10.740564
1,4.9401426,2.0585942,10.8674135,10.934768,3.4489393,11.707237,2.649511,5.2536006,2.2194738,10.560851
2,4.647291,1.9119813,10.452247,10.390531,2.8169837,11.827596,2.4941769,4.2514253,2.0403256,10.781437
3,4.5485296,1.9749237,10.825787,9.504638,2.5518746,11.39901,2.2246296,2.8292582,1.9265201,10.332678
4,4.1101384,1.9339552,9.859939,9.109959,2.446594,11.653394,2.2706873,2.5123355,1.9849942,10.0742235
5,4.145568,1.9791563,10.0476055,8.466037,2.3018212,11.753928,2.2801108,2.3678985,1.967873,9.545056
6,3.9074492,2.0374815,9.444685,7.231263,2.2612717,11.530971,2.2446048,2.3749642,1.965411,8.888822
7,3.9003382,2.0201762,9.313536,6.9867353,2.167084,11.276059,2.2104297,2.371688,1.9489914,8.0413475
8,3.8395832,2.0755634,8.482764,6.6154675,2.1349838,11.203568,2.2518284,2.353273,1.9895328,7.0939627
9,4.0093436,2.0935566,8.213722,6.1443467,2.2114737,11.146965,2.3021894,2.4265573,1.9938784,6.5468907
10,3.7799058,2.1441476,7.816086,6.0655227,2.1713655,10.564679,2.3084977,2.440365,1.9961917,5.8664575
11,3.868197,2.128416,7.1826677,6.0367045,2.1740046,10.168856,2.3582606,2.4534192,2.007161,5.4314346
12,3.7814174,2.127554,6.543591,5.6377406,2.1555676,9.868051,2.3867486,2.4854562,2.02334,5.2652364
13,3.7035537,2.1815877,6.1697354,5.7064095,2.247248,9.233553,2.4526143,2.4812934,1.9688007,4.9684367
14,3.75357,2.1846023,5.879662,5.492948,2.1962166,8.940313,2.426472,2.4539719,1.9707754,4.915974
15,3.5771766,2.2126694,6.1203814,5.2943487,2.192189,8.385871,2.449375,2.465352,1.9383757,4.9008236
16,3.568827,2.1932895,5.422261,5.127866,2.2289455,8.030452,2.4191244,2.5087059,1.8957428,4.7623215
17,3.592055,2.1529105,5.4868274,5.4822674,2.261176,7.659172,2.4776075,2.503823,1.8379409,4.7016
18,3.487099,2.09307,5.379461,5.4835844,2.2233987,7.4897614,2.4502099,2.5270152,1.8770757,4.622806
19,3.3805883,2.05418,4.982176,5.3689485,2.264139,7.0770574,2.4692822,2.5426207,1.8585519,4.468163
20,3.2412004,1.9850509,5.1466756,5.261807,2.26827,6.894048,2.4089067,2.5567124,1.8553544,4.456478
21,3.1838002,1.9268556,4.874024,5.1139283,2.256132,6.482781,2.46465,2.5467293,1.8011204,4.194368
22,3.1279526,1.8266182,4.7894807,5.0613933,2.251445,6.819366,2.45513,2.5576038,1.766096,4.5321774
23,3.0861547,1.7439319,4.846473,5.013615,2.2433355,6.714013,2.4764256,2.5393639,1.7325808,4.45969
