,given20_estimated7,given17_estimated8,given3_estimated2,given13_estimated31,given16_estimated3,given11_estimated0,given21_estimated3,given0_estimated28,given26_estimated24,given11_estimated2
0,10.513259,3.0609996,10.749847,11.328779,4.2143183,11.752084,4.1386476,5.0484576,2.9938745,10.750857
1,10.546553,3.008047,10.839882,11.409803,4.2059765,11.816369,4.031701,4.893437,2.9767165,10.839637
2,10.490985,2.913119,10.814964,11.392129,4.1360126,11.795898,3.8549836,4.6196156,2.9022892,10.813451
3,10.509909,2.8400662,10.83355,11.383563,4.0327115,11.813162,3.6487658,4.3103204,2.8259664,10.830009
4,10.443714,2.782039,10.799166,11.375305,4.0419664,11.803825,3.542235,4.102998,2.7941911,10.794811
5,10.448073,2.6991658,10.84384,11.402076,3.9859338,11.85032,3.371159,3.8396602,2.72103,10.836852
6,10.3863535,2.5907567,10.782011,11.35766,3.909778,11.797422,3.1954484,3.5825377,2.6510322,10.773235
7,10.335461,2.5387228,10.798241,11.343608,3.8424644,11.813582,3.033538,3.3947432,2.6057816,10.7881565
8,10.3111515,2.474308,10.808651,11.352862,3.7591028,11.796903,2.8859785,3.1828332,2.5497584,10.796295
9,10.238784,2.4064715,10.791907,11.355994,3.7331781,11.825194,2.7711768,3.0228164,2.5001864,10.776304
10,10.123612,2.3231425,10.764222,11.303155,3.640543,11.802706,2.6394598,2.8781078,2.4223979,10.743821
11,10.108109,2.2862287,10.76307,11.269409,3.5992045,11.776796,2.54151,2.7897115,2.4060524,10.740501
12,9.97726,2.2108605,10.732427,11.268309,3.4984698,11.768359,2.44063,2.6653113,2.3335965,10.706633
13,9.95641,2.1412082,10.761817,11.2799225,3.435088,11.807318,2.3792858,2.5772893,2.2900512,10.732426
14,9.741627,2.102359,10.701546,11.211029,3.3549514,11.72083,2.2989585,2.4876602,2.2292645,10.666805
15,9.644256,2.0690525,10.728143,11.213389,3.2762988,11.759082,2.2447357,2.4321163,2.1929364,10.686476
16,9.464964,2.0263276,10.651686,11.1617985,3.1810932,11.7004795,2.188294,2.3808758,2.144683,10.608754
17,9.306612,1.9940727,10.694969,11.218262,3.1198714,11.792725,2.1570575,2.3430758,2.1118774,10.644498
18,9.030215,1.9443737,10.629066,11.097162,2.9987075,11.695927,2.110628,2.2970066,2.0705853,10.575426
19,8.70922,1.9380574,10.652554,11.107668,2.9311733,11.722229,2.0822718,2.2615256,2.0283437,10.591314
20,8.301898,1.9054719,10.598473,11.048983,2.86029,11.680149,2.062741,2.243042,1.9954063,10.527135
21,7.7702847,1.8794742,10.536554,10.982514,2.7632148,11.642903,2.0409975,2.2056422,1.9566147,10.456647
22,7.3320875,1.8690044,10.550183,10.968269,2.7080743,11.646931,2.0370195,2.200783,1.9566053,10.4652
23,6.8440204,1.8527606,10.525216,10.925171,2.636911,11.653512,2.019902,2.188464,1.9241562,10.427388
24,6.440008,1.8464594,10.569162,10.95908,2.5683594,11.676746,2.013839,2.1823726,1.921605,10.460896
25,6.0210204,1.8399768,10.486738,10.855286,2.5110667,11.6356125,2.0040443,2.1589632,1.8899621,10.370237
26,5.678894,1.8329399,10.446663,10.768534,2.4547403,11.561854,2.0004253,2.1590958,1.8860853,10.311282
27,5.3476577,1.8209125,10.369752,10.63751,2.3798802,11.50984,1.984436,2.1467216,1.8544,10.219994
28,5.1434593,1.8267336,10.447631,10.676193,2.353931,11.553569,1.9999415,2.1503057,1.8608906,10.289334
29,4.9363823,1.8227456,10.414274,10.594445,2.3036158,11.547046,1.9903727,2.147646,1.8527689,10.2254715
30,4.748943,1.8175962,10.313079,10.480304,2.2663374,11.485592,1.9907898,2.135815,1.844595,10.115658
31,4.574657,1.8120582,10.240308,10.33858,2.2197785,11.424528,1.9858403,2.1264086,1.8335149,10.015372
32,4.4766183,1.8188084,10.26518,10.262308,2.181259,11.445295,1.983065,2.1328294,1.8373785,10.002897
33,4.3452024,1.8152394,10.210142,10.125587,2.1616104,11.381044,1.9879974,2.1261165,1.8332607,9.914611
34,4.2516847,1.812544,10.170619,9.951098,2.1271443,11.3705225,1.9832056,2.1250174,1.8322765,9.840976
35,4.1447377,1.8074942,10.058057,9.76879,2.0939422,11.292239,1.9781171,2.1167579,1.8283534,9.693097
36,4.0841846,1.8114041,10.058853,9.6169,2.0919087,11.306261,1.9876214,2.1169612,1.8172228,9.662965
37,4.045334,1.8103477,10.040835,9.425026,2.068382,11.2881975,1.9849031,2.1176422,1.8267403,9.589831
